"","State","Year","Type_code","Type","Gender","Age_group","Total"
"11876","Andhra Pradesh",2010,"Causes","Death of Dear Person","Female","15-29",22
"199844","Sikkim",2007,"Professional_Profile","Unemployed","Female","60+",0
"75929","Gujarat",2003,"Professional_Profile","Professional Activity","Male","60+",17
"108061","Jharkhand",2012,"Professional_Profile","Retired Person","Male","15-29",0
"198648","Sikkim",2005,"Professional_Profile","Student","Male","15-29",3
"233605","West Bengal",2006,"Causes","Dowry Dispute","Male","0-14",0
"216443","Tripura",2011,"Means_adopted","By Jumping from (Other sites)","Female","45-59",0
"118394","Kerala",2007,"Causes","Illness (Aids/STD)","Female","15-29",0
"109944","Karnataka",2004,"Causes","Property Dispute","Male","15-29",13
"119357","Kerala",2008,"Professional_Profile","Service (Government)","Male","0-14",0
"13266","Andhra Pradesh",2012,"Means_adopted","By Machine","Male","15-29",0
"86737","Haryana",2011,"Causes","Dowry Dispute","Male","0-14",0
"85028","Haryana",2008,"Causes","Fall in Social Reputation","Male","0-14",0
"142054","Manipur",2001,"Causes","Dowry Dispute","Female","15-29",0
"84886","Haryana",2007,"Professional_Profile","Others (Please Specify)","Male","0-14",17
"154092","Meghalaya",2010,"Means_adopted","By Jumping from (Other sites)","Male","30-44",0
"82345","Haryana",2003,"Causes","Other Prolonged Illness","Female","45-59",4
"111151","Karnataka",2006,"Causes","Illness (Aids/STD)","Female","45-59",0
"227307","Uttarakhand",2006,"Professional_Profile","Student","Male","30-44",0
"54377","Daman & Diu",2001,"Means_adopted","By Fire/Self Immolation","Female","45-59",0
"18657","Arunachal Pradesh",2010,"Causes","Failure in Examination","Male","30-44",0
"20581","Assam",2001,"Means_adopted","By Over Alcoholism","Male","30-44",7
"199039","Sikkim",2006,"Means_adopted","By Hanging","Female","0-14",2
"193198","Rajasthan",2008,"Causes","Not having Children(Barrenness/Impotency","Male","15-29",0
"174496","Odisha",2010,"Professional_Profile","Public Sector Undertaking","Male","60+",0
"80080","Gujarat",2011,"Causes","Love Affairs","Female","45-59",7
"36274","Chandigarh",2005,"Causes","Professional/Career Problem","Male","60+",0
"14361","Arunachal Pradesh",2002,"Means_adopted","By Fire/Self Immolation","Male","0-14",0
"185064","Punjab",2005,"Means_adopted","By Jumping from (Building)","Male","60+",0
"202984","Tamil Nadu",2001,"Means_adopted","By touching electric wires","Male","0-14",1
"193553","Rajasthan",2008,"Means_adopted","By Fire-Arms","Male","60+",1
"161823","Mizoram",2012,"Causes","Professional/Career Problem","Female","60+",0
"97450","Jammu & Kashmir",2006,"Causes","Paralysis","Male","0-14",0
"71424","Goa",2007,"Professional_Profile","Public Sector Undertaking","Male","60+",0
"153124","Meghalaya",2008,"Professional_Profile","Farming/Agriculture Activity","Male","45-59",2
"57632","Daman & Diu",2007,"Means_adopted","By Other means (please specify)","Female","0-14",0
"91906","Himachal Pradesh",2008,"Causes","Causes Not known","Female","30-44",29
"188927","Punjab",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","15-29",0
"11851","Andhra Pradesh",2010,"Causes","Other Causes (Please Specity)","Male","0-14",23
"170161","Odisha",2003,"Causes","Illegitimate Pregnancy","Female","45-59",0
"40353","Chandigarh",2012,"Means_adopted","By Hanging","Female","60+",0
"213063","Tripura",2005,"Means_adopted","By Self Infliction of injury","Male","45-59",0
"225496","Uttarakhand",2003,"Means_adopted","By Jumping from (Building)","Female","45-59",0
"128815","Madhya Pradesh",2001,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","60+",0
"13352","Andhra Pradesh",2012,"Means_adopted","By Fire/Self Immolation","Female","60+",49
"195036","Rajasthan",2011,"Causes","Love Affairs","Female","60+",0
"90783","Himachal Pradesh",2006,"Causes","Fall in Social Reputation","Male","30-44",2
"205329","Tamil Nadu",2005,"Means_adopted","By Over Alcoholism","Female","45-59",0
"56981","Daman & Diu",2006,"Causes","Unemployment","Male","45-59",0
"158119","Mizoram",2005,"Professional_Profile","Farming/Agriculture Activity","Male","0-14",0
"142441","Manipur",2001,"Professional_Profile","Professional Activity","Male","15-29",0
"204326","Tamil Nadu",2003,"Professional_Profile","Retired Person","Male","30-44",0
"234840","West Bengal",2008,"Causes","Illness (Aids/STD)","Male","30-44",0
"18033","Arunachal Pradesh",2009,"Causes","Causes Not known","Female","15-29",16
"32056","Bihar",2009,"Professional_Profile","Self-employed (Business activity)","Female","60+",0
"109469","Karnataka",2003,"Causes","Divorce","Male","45-59",0
"58234","Daman & Diu",2008,"Means_adopted","By Jumping from (Other sites)","Male","15-29",0
"63191","Delhi (Ut)",2005,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","60+",0
"124045","Lakshadweep",2005,"Causes","Fall in Social Reputation","Male","15-29",0
"148938","Meghalaya",2001,"Causes","Fall in Social Reputation","Male","60+",0
"127729","Lakshadweep",2011,"Professional_Profile","Retired Person","Female","0-14",0
"150407","Meghalaya",2004,"Causes","Cancellation/Non-Settlement of Marriage","Male","0-14",0
"5863","A & N Islands",2011,"Education_Status","Diploma","Male","0-100+",2
"155236","Meghalaya",2012,"Means_adopted","By Overdose of sleeping pills","Female","45-59",0
"224061","Uttarakhand",2001,"Causes","Other Prolonged Illness","Male","15-29",4
"98156","Jammu & Kashmir",2007,"Causes","Professional/Career Problem","Female","45-59",0
"169552","Odisha",2002,"Causes","Professional/Career Problem","Female","30-44",16
"65213","Delhi (Ut)",2008,"Professional_Profile","Service (Government)","Male","60+",0
"214918","Tripura",2008,"Professional_Profile","Service (Government)","Male","60+",0
"64082","Delhi (Ut)",2006,"Professional_Profile","Others (Please Specify)","Male","60+",5
"197414","Sikkim",2003,"Means_adopted","By coming under running vehicles/trains","Female","30-44",0
"212664","Tripura",2004,"Social_Status","Divorcee","Female","0-100+",4
"152826","Meghalaya",2008,"Causes","Paralysis","Female","60+",0
"154503","Meghalaya",2011,"Causes","Unemployment","Female","60+",0
"103187","Jharkhand",2004,"Causes","Illness (Aids/STD)","Male","30-44",0
"7960","Andhra Pradesh",2003,"Causes","Ideological Causes/Hero Worshipping","Female","30-44",4
"37164","Chandigarh",2007,"Causes","Illegitimate Pregnancy","Female","0-14",0
"122336","Lakshadweep",2002,"Causes","Illness (Aids/STD)","Female","15-29",0
"38649","Chandigarh",2009,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","45-59",0
"156024","Mizoram",2002,"Causes","Fall in Social Reputation","Male","0-14",0
"235747","West Bengal",2009,"Professional_Profile","Unemployed","Male","15-29",448
"47863","D & N Haveli",2002,"Causes","Divorce","Female","0-14",0
"74668","Gujarat",2001,"Means_adopted","By Machine","Female","60+",0
"176007","Puducherry",2001,"Means_adopted","By Self Infliction of injury","Male","30-44",0
"231037","West Bengal",2001,"Means_adopted","By Over Alcoholism","Male","0-14",0
"188128","Punjab",2011,"Causes","Drug Abuse/Addiction","Male","15-29",39
"78634","Gujarat",2008,"Means_adopted","By Drowning","Male","60+",21
"42595","Chhattisgarh",2004,"Means_adopted","By Machine","Male","45-59",0
"13465","Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","45-59",651
"191178","Rajasthan",2004,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","15-29",4
"202831","Tamil Nadu",2001,"Causes","Property Dispute","Male","30-44",35
"50092","D & N Haveli",2006,"Causes","Illness (Aids/STD)","Female","0-14",0
"36436","Chandigarh",2005,"Means_adopted","By Fire-Arms","Male","60+",0
"179345","Puducherry",2007,"Means_adopted","By Drowning","Male","15-29",0
"192438","Rajasthan",2006,"Professional_Profile","Public Sector Undertaking","Male","0-14",0
"34447","Chandigarh",2002,"Causes","Property Dispute","Male","15-29",0
"45089","Chhattisgarh",2009,"Causes","Suspected/Illicit Relation","Female","15-29",4
"187569","Punjab",2010,"Causes","Unemployment","Male","30-44",0
"44237","Chhattisgarh",2007,"Means_adopted","By Drowning","Male","15-29",21
"15073","Arunachal Pradesh",2003,"Professional_Profile","Service (Government)","Male","0-14",0
"133164","Madhya Pradesh",2009,"Causes","Not having Children(Barrenness/Impotency","Male","60+",0
"219354","Uttar Pradesh",2004,"Professional_Profile","House Wife","Female","15-29",643
"94526","Himachal Pradesh",2012,"Professional_Profile","Service (Private)","Female","30-44",4
"209492","Total (All India)",2001,"Education_Status","Primary","Male","0-100+",16782
"151229","Meghalaya",2005,"Means_adopted","By Overdose of sleeping pills","Male","0-14",0
"187585","Punjab",2010,"Causes","Illness (Aids/STD)","Female","30-44",1
"162011","Mizoram",2012,"Means_adopted","By Hanging","Female","60+",0
"122728","Lakshadweep",2002,"Professional_Profile","House Wife","Female","0-14",0
"4633","A & N Islands",2009,"Causes","Drug Abuse/Addiction","Female","45-59",0
"33105","Bihar",2011,"Professional_Profile","House Wife","Male","0-14",0
"135790","Maharashtra",2002,"Causes","Insanity/Mental Illness","Male","0-14",12
"173460","Odisha",2009,"Causes","Family Problems","Female","15-29",166
"202285","Sikkim",2012,"Causes","Other Prolonged Illness","Female","45-59",0
"107205","Jharkhand",2011,"Causes","Failure in Examination","Male","45-59",0
"155153","Meghalaya",2012,"Means_adopted","By Fire/Self Immolation","Male","0-14",0
"92847","Himachal Pradesh",2009,"Professional_Profile","Others (Please Specify)","Male","45-59",3
"71211","Goa",2007,"Means_adopted","By Fire-Arms","Male","15-29",0
"123418","Lakshadweep",2004,"Causes","Unemployment","Female","0-14",0
"24157","Assam",2007,"Social_Status","Divorcee","Male","0-100+",14
"48027","D & N Haveli",2002,"Causes","Professional/Career Problem","Female","45-59",0
"144796","Manipur",2006,"Causes","Paralysis","Female","0-14",0
"190889","Rajasthan",2004,"Causes","Failure in Examination","Male","0-14",3
"43518","Chhattisgarh",2006,"Causes","Causes Not known","Male","45-59",191
"218203","Uttar Pradesh",2002,"Professional_Profile","Professional Activity","Female","0-14",0
"151420","Meghalaya",2005,"Professional_Profile","Farming/Agriculture Activity","Male","30-44",2
"46220","Chhattisgarh",2011,"Causes","Insanity/Mental Illness","Female","15-29",37
"2422","A & N Islands",2005,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","45-59",0
"40321","Chandigarh",2012,"Means_adopted","By coming under running vehicles/trains","Female","45-59",0
"47913","D & N Haveli",2002,"Causes","Failure in Examination","Female","15-29",0
"68511","Goa",2002,"Professional_Profile","Professional Activity","Male","15-29",0
"193531","Rajasthan",2008,"Means_adopted","By Over Alcoholism","Female","60+",0
"168900","Odisha",2001,"Causes","Family Problems","Male","0-14",8
"47969","D & N Haveli",2002,"Causes","Cancellation/Non-Settlement of Marriage","Female","30-44",0
"53932","D & N Haveli",2012,"Professional_Profile","Public Sector Undertaking","Female","30-44",0
"286","A & N Islands",2001,"Means_adopted","By Over Alcoholism","Female","0-14",0
"22209","Assam",2004,"Means_adopted","By Other means (please specify)","Male","0-14",2
"109263","Karnataka",2002,"Professional_Profile","Retired Person","Male","60+",39
"193794","Rajasthan",2009,"Causes","Poverty","Female","30-44",0
"36651","Chandigarh",2006,"Causes","Love Affairs","Female","15-29",0
"184294","Punjab",2004,"Causes","Drug Abuse/Addiction","Female","60+",0
"215408","Tripura",2009,"Professional_Profile","Others (Please Specify)","Male","15-29",32
"181984","Puducherry",2012,"Causes","Other Causes (Please Specity)","Female","45-59",3
"94815","Jammu & Kashmir",2001,"Causes","Poverty","Female","60+",0
"115008","Kerala",2001,"Causes","Unemployment","Female","15-29",7
"31282","Bihar",2008,"Means_adopted","By Consuming Other Poison","Male","15-29",8
"114407","Karnataka",2012,"Causes","Unemployment","Male","0-14",1
"110996","Karnataka",2006,"Causes","Love Affairs","Female","0-14",2
"63518","Delhi (Ut)",2005,"Professional_Profile","Student","Male","60+",0
"40113","Chandigarh",2012,"Causes","Poverty","Female","45-59",0
"145475","Manipur",2007,"Causes","Other Causes (Please Specity)","Male","30-44",0
"216994","Tripura",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","30-44",0
"192700","Rajasthan",2007,"Causes","Drug Abuse/Addiction","Male","30-44",56
"22824","Assam",2005,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","30-44",2
"56870","Daman & Diu",2006,"Causes","Divorce","Male","15-29",0
"158535","Mizoram",2006,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","0-14",0
"144311","Manipur",2005,"Causes","Cancellation/Non-Settlement of Marriage","Male","15-29",0
"126198","Lakshadweep",2009,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","0-14",0
"180735","Puducherry",2010,"Causes","Not having Children(Barrenness/Impotency","Male","0-14",0
"139667","Maharashtra",2008,"Professional_Profile","Unemployed","Female","45-59",1
"80747","Gujarat",2012,"Means_adopted","By coming under running vehicles/trains","Female","0-14",0
"115887","Kerala",2002,"Means_adopted","By Drowning","Female","45-59",77
"134183","Madhya Pradesh",2011,"Causes","Other Causes (Please Specity)","Female","30-44",110
"33250","Bihar",2012,"Causes","Death of Dear Person","Male","0-14",0
"169254","Odisha",2001,"Means_adopted","By Jumping from (Other sites)","Male","45-59",13
"174373","Odisha",2010,"Means_adopted","By Jumping from (Other sites)","Male","60+",0
"111926","Karnataka",2007,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","45-59",0
"152044","Meghalaya",2006,"Social_Status","Married","Male","0-100+",46
"195392","Rajasthan",2012,"Causes","Illegitimate Pregnancy","Female","0-14",0
"23171","Assam",2006,"Causes","Causes Not known","Male","30-44",251
"165826","Nagaland",2007,"Means_adopted","By Consuming Other Poison","Female","15-29",0
"114084","Karnataka",2011,"Means_adopted","By Overdose of sleeping pills","Female","0-14",0
"174284","Odisha",2010,"Means_adopted","By Hanging","Male","15-29",258
"150596","Meghalaya",2004,"Causes","Paralysis","Female","60+",0
"162337","Nagaland",2001,"Causes","Dowry Dispute","Male","45-59",0
"111394","Karnataka",2006,"Means_adopted","By Machine","Female","60+",0
"31627","Bihar",2009,"Causes","Bankruptcy or Sudden change in Economic","Male","30-44",0
"110897","Karnataka",2005,"Professional_Profile","Others (Please Specify)","Female","30-44",126
"47364","D & N Haveli",2001,"Causes","Cancellation/Non-Settlement of Marriage","Female","15-29",0
"196100","Sikkim",2001,"Causes","Illness (Aids/STD)","Male","30-44",0
"208306","Tamil Nadu",2010,"Professional_Profile","Professional Activity","Male","45-59",50
"19032","Arunachal Pradesh",2010,"Professional_Profile","Others (Please Specify)","Female","45-59",0
"204370","Tamil Nadu",2003,"Professional_Profile","House Wife","Male","60+",0
"229687","Uttarakhand",2011,"Causes","Causes Not known","Female","15-29",6
"206752","Tamil Nadu",2008,"Causes","Other Causes (Please Specity)","Male","15-29",366
"19937","Arunachal Pradesh",2012,"Means_adopted","By coming under running vehicles/trains","Female","0-14",0
"25768","Assam",2010,"Professional_Profile","Unemployed","Female","15-29",12
"189700","Rajasthan",2001,"Professional_Profile","Self-employed (Business activity)","Female","60+",0
"147544","Manipur",2010,"Professional_Profile","Service (Government)","Female","60+",0
"125641","Lakshadweep",2008,"Causes","Other Prolonged Illness","Female","0-14",0
"122143","Lakshadweep",2001,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","60+",0
"117478","Kerala",2005,"Means_adopted","By touching electric wires","Female","0-14",0
"191139","Rajasthan",2004,"Means_adopted","By touching electric wires","Female","0-14",0
"11635","Andhra Pradesh",2009,"Means_adopted","By Fire-Arms","Male","45-59",2
"83331","Haryana",2005,"Causes","Suspected/Illicit Relation","Male","0-14",0
"22262","Assam",2004,"Means_adopted","By Jumping from (Other sites)","Female","30-44",5
"208814","Tamil Nadu",2011,"Professional_Profile","Farming/Agriculture Activity","Female","15-29",61
"105684","Jharkhand",2008,"Means_adopted","By Hanging","Male","30-44",38
"232567","West Bengal",2004,"Causes","Professional/Career Problem","Female","30-44",2
"86612","Haryana",2010,"Professional_Profile","Professional Activity","Male","30-44",0
"200884","Sikkim",2009,"Professional_Profile","Self-employed (Business activity)","Female","0-14",0
"139315","Maharashtra",2008,"Causes","Dowry Dispute","Female","45-59",0
"150499","Meghalaya",2004,"Causes","Illegitimate Pregnancy","Female","30-44",0
"186499","Punjab",2008,"Causes","Not having Children(Barrenness/Impotency","Female","45-59",0
"197400","Sikkim",2003,"Means_adopted","By Over Alcoholism","Male","15-29",5
"175495","Odisha",2012,"Means_adopted","By Jumping from (Building)","Female","60+",0
"197372","Sikkim",2003,"Means_adopted","By Fire/Self Immolation","Male","0-14",0
"147707","Manipur",2011,"Causes","Fall in Social Reputation","Male","30-44",0
"54762","Daman & Diu",2002,"Causes","Love Affairs","Male","45-59",0
"219905","Uttar Pradesh",2005,"Professional_Profile","Retired Person","Female","0-14",0
"36903","Chandigarh",2006,"Means_adopted","By Over Alcoholism","Male","15-29",0
"152695","Meghalaya",2008,"Causes","Ideological Causes/Hero Worshipping","Male","15-29",0
"204497","Tamil Nadu",2004,"Causes","Bankruptcy or Sudden change in Economic","Female","30-44",16
"194472","Rajasthan",2010,"Causes","Ideological Causes/Hero Worshipping","Female","60+",0
"145114","Manipur",2006,"Means_adopted","By Fire/Self Immolation","Female","30-44",0
"227363","Uttarakhand",2006,"Social_Status","Married","Male","0-100+",101
"107669","Jharkhand",2012,"Causes","Dowry Dispute","Male","15-29",0
"25590","Assam",2010,"Means_adopted","By Drowning","Female","0-14",4
"216166","Tripura",2011,"Causes","Cancellation/Non-Settlement of Marriage","Male","15-29",0
"98549","Jammu & Kashmir",2008,"Causes","Unemployment","Female","0-14",0
"228882","Uttarakhand",2009,"Means_adopted","By Drowning","Male","45-59",5
"162148","Mizoram",2012,"Social_Status","Seperated","Female","0-100+",36
"118921","Kerala",2008,"Causes","Insanity/Mental Illness","Female","0-14",1
"171595","Odisha",2005,"Professional_Profile","Professional Activity","Male","15-29",19
"13124","Andhra Pradesh",2012,"Causes","Drug Abuse/Addiction","Male","45-59",31
"198655","Sikkim",2005,"Professional_Profile","Others (Please Specify)","Female","15-29",0
"217010","Tripura",2012,"Means_adopted","By Jumping from (Building)","Female","45-59",0
"157506","Mizoram",2004,"Means_adopted","By Fire/Self Immolation","Male","45-59",0
"40751","Chhattisgarh",2001,"Causes","Bankruptcy or Sudden change in Economic","Male","60+",5
"89153","Himachal Pradesh",2003,"Causes","Not having Children(Barrenness/Impotency","Male","45-59",2
"37619","Chandigarh",2007,"Professional_Profile","Service (Private)","Female","15-29",0
"225850","Uttarakhand",2004,"Causes","Cancellation/Non-Settlement of Marriage","Female","45-59",0
"105441","Jharkhand",2008,"Causes","Paralysis","Female","30-44",0
"225332","Uttarakhand",2003,"Causes","Ideological Causes/Hero Worshipping","Female","60+",0
"49820","D & N Haveli",2005,"Means_adopted","By Fire-Arms","Female","0-14",0
"16369","Arunachal Pradesh",2006,"Causes","Ideological Causes/Hero Worshipping","Male","15-29",0
"226656","Uttarakhand",2005,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","60+",0
"138315","Maharashtra",2006,"Means_adopted","By Other means (please specify)","Male","0-14",1
"133987","Madhya Pradesh",2010,"Professional_Profile","Self-employed (Business activity)","Female","30-44",0
"20735","Assam",2001,"Professional_Profile","Retired Person","Male","45-59",2
"149352","Meghalaya",2002,"Causes","Cancellation/Non-Settlement of Marriage","Female","30-44",0
"146301","Manipur",2008,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","60+",0
"71348","Goa",2007,"Professional_Profile","Others (Please Specify)","Male","15-29",2
"37702","Chandigarh",2007,"Social_Status","Widowed/Widower","Female","0-100+",0
"107312","Jharkhand",2011,"Means_adopted","By Drowning","Male","0-14",4
"168679","Nagaland",2012,"Means_adopted","By Jumping from (Other sites)","Female","45-59",0
"220338","Uttar Pradesh",2006,"Means_adopted","By Machine","Female","15-29",0
"34126","Chandigarh",2001,"Means_adopted","By Other means (please specify)","Male","15-29",0
"122364","Lakshadweep",2002,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","15-29",0
"69366","Goa",2004,"Causes","Other Prolonged Illness","Male","45-59",4
"71243","Goa",2007,"Means_adopted","By Fire/Self Immolation","Male","30-44",3
"123051","Lakshadweep",2003,"Causes","Professional/Career Problem","Female","60+",0
"156260","Mizoram",2002,"Means_adopted","By Hanging","Female","0-14",0
"97127","Jammu & Kashmir",2005,"Education_Status","Middle","Male","0-100+",60
"120262","Kerala",2010,"Causes","Property Dispute","Female","60+",2
"136651","Maharashtra",2003,"Means_adopted","By Jumping from (Other sites)","Male","15-29",9
"92795","Himachal Pradesh",2009,"Professional_Profile","Student","Male","0-14",2
"136708","Maharashtra",2003,"Means_adopted","By coming under running vehicles/trains","Female","45-59",5
"209646","Total (All India)",2007,"Education_Status","Diploma","Male","0-100+",846
"152700","Meghalaya",2008,"Causes","Not having Children(Barrenness/Impotency","Male","15-29",0
"154723","Meghalaya",2011,"Means_adopted","By Fire/Self Immolation","Male","60+",0
"78271","Gujarat",2008,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","15-29",10
"121570","Kerala",2012,"Means_adopted","By Other means (please specify)","Female","60+",2
"201545","Sikkim",2010,"Professional_Profile","Student","Male","60+",0
"84977","Haryana",2007,"Professional_Profile","Others (Please Specify)","Male","60+",9
"223104","Uttar Pradesh",2011,"Causes","Divorce","Male","60+",0
"162456","Nagaland",2001,"Means_adopted","By Overdose of sleeping pills","Male","0-14",0
"96845","Jammu & Kashmir",2004,"Social_Status","Widowed/Widower","Female","0-100+",0
"122430","Lakshadweep",2002,"Causes","Drug Abuse/Addiction","Male","30-44",0
"150432","Meghalaya",2004,"Causes","Love Affairs","Female","15-29",4
"144637","Manipur",2005,"Means_adopted","By Machine","Male","60+",0
"92311","Himachal Pradesh",2008,"Professional_Profile","Professional Activity","Female","60+",1
"219011","Uttar Pradesh",2004,"Causes","Causes Not known","Female","30-44",120
"796","A & N Islands",2002,"Causes","Failure in Examination","Female","60+",0
"208579","Tamil Nadu",2011,"Causes","Bankruptcy or Sudden change in Economic","Female","60+",3
"67943","Goa",2001,"Professional_Profile","Others (Please Specify)","Male","0-14",0
"88169","Himachal Pradesh",2001,"Means_adopted","By coming under running vehicles/trains","Female","30-44",0
"235956","West Bengal",2010,"Causes","Dowry Dispute","Female","30-44",299
"145553","Manipur",2007,"Causes","Property Dispute","Female","60+",0
"219389","Uttar Pradesh",2004,"Professional_Profile","Others (Please Specify)","Female","30-44",64
"172511","Odisha",2007,"Causes","Paralysis","Male","60+",0
"139012","Maharashtra",2007,"Means_adopted","By Other means (please specify)","Male","60+",1
"191841","Rajasthan",2005,"Means_adopted","By touching electric wires","Female","60+",0
"214707","Tripura",2008,"Means_adopted","By Hanging","Male","15-29",82
"231256","West Bengal",2001,"Professional_Profile","Others (Please Specify)","Female","45-59",348
"19970","Arunachal Pradesh",2012,"Means_adopted","By Jumping from (Other sites)","Female","15-29",0
"27130","Bihar",2001,"Causes","Suspected/Illicit Relation","Male","30-44",3
"123123","Lakshadweep",2003,"Means_adopted","By Consuming Insecticides","Female","0-14",0
"168684","Nagaland",2012,"Means_adopted","By Overdose of sleeping pills","Female","45-59",0
"103032","Jharkhand",2003,"Professional_Profile","Self-employed (Business activity)","Female","60+",0
"145106","Manipur",2006,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","15-29",0
"205126","Tamil Nadu",2005,"Causes","Dowry Dispute","Female","45-59",0
"168291","Nagaland",2011,"Social_Status","Never Married","Male","0-100+",3
"198727","Sikkim",2005,"Professional_Profile","House Wife","Female","60+",2
"124927","Lakshadweep",2006,"Means_adopted","By Consuming Insecticides","Male","60+",0
"196176","Sikkim",2001,"Causes","Insanity/Mental Illness","Female","60+",0
"73747","Goa",2012,"Causes","Unemployment","Female","15-29",0
"124889","Lakshadweep",2006,"Means_adopted","By Consuming Other Poison","Female","45-59",0
"210363","Total (Uts)",2011,"Education_Status","Graduate","Female","0-100+",28
"128818","Madhya Pradesh",2001,"Means_adopted","By Consuming Other Poison","Female","60+",18
"55951","Daman & Diu",2004,"Means_adopted","By Consuming Insecticides","Female","0-14",0
"127830","Lakshadweep",2011,"Professional_Profile","Public Sector Undertaking","Male","60+",0
"85976","Haryana",2009,"Means_adopted","By Drowning","Female","60+",1
"8738","Andhra Pradesh",2004,"Means_adopted","By Drowning","Male","15-29",97
"232987","West Bengal",2004,"Professional_Profile","Unemployed","Male","60+",0
"105729","Jharkhand",2008,"Means_adopted","By Fire-Arms","Female","60+",0
"230789","West Bengal",2001,"Causes","Family Problems","Male","0-14",5
"51619","D & N Haveli",2008,"Means_adopted","By Consuming Other Poison","Female","60+",0
"109987","Karnataka",2004,"Causes","Fall in Social Reputation","Male","30-44",22
"180490","Puducherry",2009,"Means_adopted","By Fire-Arms","Female","30-44",0
"202982","Tamil Nadu",2001,"Means_adopted","By Hanging","Female","0-14",36
"124055","Lakshadweep",2005,"Causes","Fall in Social Reputation","Female","30-44",0
"53772","D & N Haveli",2012,"Means_adopted","By touching electric wires","Male","15-29",0
"197364","Sikkim",2003,"Means_adopted","By Consuming Other Poison","Male","0-14",0
"133770","Madhya Pradesh",2010,"Means_adopted","By Overdose of sleeping pills","Female","0-14",0
"123980","Lakshadweep",2005,"Causes","Other Prolonged Illness","Male","0-14",0
"221047","Uttar Pradesh",2007,"Professional_Profile","Unemployed","Male","0-14",5
"191910","Rajasthan",2005,"Professional_Profile","Others (Please Specify)","Female","30-44",24
"55717","Daman & Diu",2004,"Causes","Ideological Causes/Hero Worshipping","Male","0-14",0
"32192","Bihar",2010,"Causes","Not having Children(Barrenness/Impotency","Male","15-29",0
"170658","Odisha",2004,"Causes","Unemployment","Male","15-29",55
"43828","Chhattisgarh",2006,"Professional_Profile","Self-employed (Business activity)","Female","30-44",2
"207541","Tamil Nadu",2009,"Means_adopted","By Consuming Insecticides","Male","15-29",753
"3353","A & N Islands",2007,"Causes","Failure in Examination","Male","0-14",2
"21603","Assam",2003,"Education_Status","No Education","Female","0-100+",191
"110814","Karnataka",2005,"Means_adopted","By Self Infliction of injury","Female","60+",0
"74993","Gujarat",2002,"Causes","Death of Dear Person","Female","45-59",1
"20457","Assam",2001,"Causes","Paralysis","Male","60+",0
"168358","Nagaland",2012,"Causes","Cancellation/Non-Settlement of Marriage","Female","15-29",0
"195960","Sikkim",2001,"Causes","Professional/Career Problem","Female","0-14",0
"199252","Sikkim",2006,"Professional_Profile","Student","Male","30-44",0
"165383","Nagaland",2006,"Means_adopted","By Fire-Arms","Male","60+",0
"7671","Andhra Pradesh",2002,"Means_adopted","By Consuming Insecticides","Male","45-59",694
"226895","Uttarakhand",2006,"Causes","Suspected/Illicit Relation","Male","15-29",4
"41365","Chhattisgarh",2002,"Means_adopted","By Jumping from (Building)","Male","0-14",0
"197854","Sikkim",2004,"Causes","Unemployment","Female","60+",0
"90315","Himachal Pradesh",2005,"Causes","Love Affairs","Female","60+",0
"113680","Karnataka",2010,"Professional_Profile","Unemployed","Female","0-14",0
"214167","Tripura",2007,"Means_adopted","By Fire-Arms","Male","30-44",7
"41410","Chhattisgarh",2002,"Means_adopted","By Self Infliction of injury","Male","30-44",2
"10401","Andhra Pradesh",2007,"Means_adopted","By coming under running vehicles/trains","Female","0-14",3
"26721","Assam",2012,"Means_adopted","By coming under running vehicles/trains","Female","0-14",0
"181824","Puducherry",2012,"Causes","Paralysis","Female","0-14",0
"189235","Rajasthan",2001,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","15-29",0
"137115","Maharashtra",2004,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","60+",0
"205038","Tamil Nadu",2005,"Causes","Other Prolonged Illness","Male","15-29",344
"48929","D & N Haveli",2003,"Professional_Profile","Service (Private)","Male","45-59",0
"157791","Mizoram",2005,"Causes","Cancellation/Non-Settlement of Marriage","Female","30-44",0
"26635","Assam",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","45-59",0
"163209","Nagaland",2002,"Professional_Profile","Public Sector Undertaking","Male","30-44",0
"196731","Sikkim",2002,"Causes","Causes Not known","Female","60+",0
